#Run	Event
206497	865145
206497	871424
206497	1019363
206497	1052832
206497	1095995
206497	1118759
206497	1172436
206497	1204637
206497	1243894
206497	1435619
206497	1509288
206497	2214589
206497	2248523
206497	2357862
206497	2783344
206497	2911300
206497	3061131
206497	3189281
206497	3685868
206497	3700457
206497	3788371
206497	3828117
206497	3935059
206497	3983087
206497	4236220
206497	4258201
206497	4262158
206497	4346778
206497	4493005
206497	4503528
206497	4586594
206497	4778728
206497	4799091
206497	4901666
206497	4909562
206497	4961332
206497	5052184
206497	5079511
206497	5082737
206497	5169957
206497	5376757
206497	5404474
206497	5422126
206497	5674810
206497	5797675
206299	1080860
206299	1297267
206299	1527421
206299	1545681
206299	1628898
206299	1653225
206299	1833785
206299	2014785
206299	2069064
206299	2069852
206299	2137669
206299	2172316
206299	2242279
206299	2399101
206299	2582653
206299	2933402
206299	3427731
206299	3430372
206299	3582608
206299	3585747
206299	3993927
206299	5069615
206299	5260296
206299	5422727
206299	5437560
206299	5608444
206299	5750281
206299	5829966
206299	6079682
206299	6157839
206299	6265824
206299	6306510
206299	6514382
206299	6543737
206299	6605221
206299	6719566
206299	6729840
206299	6747915
206299	6876788
206299	7090328
206299	7160636
206299	7166341
206299	7204875
206299	7778046
206299	7805124
206299	7980716
206299	7992792
206299	8034222
206299	8266448
206299	8393123
207044	1066971
207044	1270327
207044	1295225
207044	1396541
207044	1424443
207044	1435983
207044	1505381
207044	1521927
207044	1619398
207044	1744859
207044	1751473
207044	1800688
207044	1870966
207044	2358768
207044	2635946
207044	2651566
207044	2744653
207044	3009508
207044	3100553
207044	3190939
207044	3320739
207044	3370412
207044	3496651
207044	3528105
207044	3771134
207044	3777246
207044	3805312
207044	4054225
207044	4067144
207044	4068481
207044	4640295
207044	4984504
207044	5178032
207044	5342645
207044	5403235
207044	5694286
207044	5866597
207044	5879211
207044	5995168
207044	6233341
207044	6251990
207044	6281042
207044	6521839
207044	6599744
207044	6748965
207044	6826823
207044	6843607
207044	6932855
207044	7072285
207044	7174083
207044	7249392
207044	7432053
207044	7622134
207044	7640344
207044	7715049
207044	8154580
207044	8468642
207044	8578657
207044	8662040
207044	9750365
207044	9796956
207044	9919287
207044	9967541
207044	10242101
207044	10248613
207044	10325132
207044	10341149
207044	10367233
207044	10400006
207044	10403586
207044	10496064
207044	10563867
207044	10774735
207044	11254512
207044	11350027
207044	11409104
207044	11478535
207044	11988993
207044	12064826
207044	12116877
207044	12160855
207044	12161885
207044	12166767
207044	12308349
207044	12543993
207044	12595328
207044	12787303
207044	13003948
207044	13079252
207044	13235768
207044	13259263
207044	13314831
207044	13316414
207044	13846764
207044	13960458
207044	13973654
207044	14028622
207044	14094347
207044	14476127
207044	14621418
207044	14946691
207044	14947097
207044	15052153
207044	15241823
207044	15478086
207044	15518657
207044	15688494
207044	15785712
207044	15805218
207044	16073053
207044	16919053
207044	16958245
207044	17119259
207044	17214862
207044	17296552
207044	17437800
207044	17451599
207044	17714972
207044	17833332
207044	17866596
207044	18168683
207044	18363427
207044	18371500
207044	18438746
207044	18439651
207044	18802070
207044	18863941
207044	18980501
207044	19083025
207044	19253360
207044	19280087
207044	19292578
207044	19295383
207044	19300038
207044	19506276
207044	19846666
207044	19937584
207044	20122587
207044	20168523
207044	20270329
207044	20337637
207044	20507700
207044	21008059
207044	21059548
207044	21188414
207044	21310946
207044	21329527
207044	21507905
207044	21514429
207044	21749250
207044	21993471
207044	22074346
207044	22361062
207044	22499081
207044	22573351
207044	22627033
207044	22752060
207044	22844847
207044	23155060
207044	23399399
207044	23400489
207044	23414850
207044	23442964
207044	23457794
